,Model,Overall_rating,Date,Review,Style,Comfort,Fuel_Economy,Performance,Value_for_Money
14,2021 Suzuki Alto VXL AGS,3," Oct 05, 2023","

On the exterior, the front look of this car is the best in its category. However, the back is a little bit odd, but the tail lights should be on the trunk. Overall, I liked its exterior. In the interior, the dashboard is very beautiful especially dual tone. It has practical and safety features such as power windows, retractable-adjustable side mirrors, LCD, dual airbags, and ABS brakes. Let's move on to the engine specs, it has an R-series 660cc engine which is capable of producing  39 hp and 56 nm torque. While driving, this car has optimal power. Never felt underpowered with 4 to 5 passengers. It has decent pick and engine response.  As we talk we talk about its comfort, it is outclass especially the front seats. The back seat comfort can be improved by adding 2 headrests to it, but the cushioning is very soft so I will add a plus point to it. The ride quality is very smooth and the handling is also. My final verdict is that you have to purchase this  car even it cost 3 million 
 

                More
                
 
                Less
                
 
",4,4,5,5,1
15,2019 Suzuki Wagon R VXR,3," Sep 30, 2023","
I live abroad when ever I am in Pakistan I use my wagen r most of the time in hilly area bauser pass, naran, gilgit, Hunza, great ride I am happy with car good economy miss ABS and Air bag for small car not bad let's see it have done only 13000 miles service by Suzuki 
",3,4,4,4,3
16,2018 Suzuki Wagon R,3," Sep 29, 2023","

Exterior: This car's look? Totally boxy and unique. Not for everyone, but if tall cars tickle your fancy, it's a winner.Interior: For tall folks, the headspace is a dream. But, if you've got long legs, it's a tad tight. And pack light—the trunk isn’t roomy.Fuel Economy: Started with an okay 8 MPG in the city. Post-tune-up, it’s 10-12 MPG around town and a cool 16-18 MPG on highways—with the AC on full blast.Ride & Handling: Compared to my '06 Coure, it's comfier and handles nicely.Verdict: It's a car with quirks and character. Not flawless, but if you appreciate unique rides and can manage its small quirks, this might be your jam
 

                More
                
 
                Less
                
 
",3,4,3,4,1
17,2023 Suzuki Swift GLX CVT,2," Sep 14, 2023","

I bought a GLX CVT on August 18th, 2023 on Open Invoice.I bought this car with high hopes and extreme passion. Because, it is indeed a beautiful car with excellent mileage and modern features. But i have my real concerns which need to be told to general public. Although the Invoice states its 2023 Model but the label on my Seat Belts and the year of manufacture on car Tyres is  of 2022.Car's  Water Pump/Water Body has turned out to be faulty. Which i have claimed in warranty.Car's CVT  transmission is making a hissing noise upon gear shift which is very irritating to hear. It needs to be checked.Car's front Windscreen is bubbly from the bottom which gives a distorted vision.Car has an extremely beautiful interior but the company has used hard quality plastic all around. The rear doors look like  that of a toy car.I am in negotiations with Suzuki Pakistan Motors  to address my issues. They are really Supportive and helpful.
 

                More
                
 
                Less
                
 
",4,4,4,1,1
18,2019 Suzuki Swift DLX 1.3 Navigation ,4," Sep 11, 2023","

The best hatchback when it comes to locally assembled cars. Its exterior is a work of art, simply beautiful.Interior is spacious, both seating wise and for ornaments and stuff. 5 persons can easily adjust for an intra-city drive but for longer journeys, 4 persons are recommended.Performance is the best part. Brakes, road grip, handling, stability, acceleration, speed, power, everything is better than other hatchbacks. Touching 180 is a piece of cake. 13-16 is its fuel mileage with A/C (manual). Automatic gives less mileage. The tank is of 42L.Manufacturing faults: Rear wheel bearing noise, misaligned hood.Things I don't like: Total cheap plastic interior, no airbags, pathetic infotainment, hard seats, no height adjustment.Things I like: Overall road performance (especially stability and brakes), and exterior.
 

                More
                
 
                Less
                
 
",5,3,4,5,5
19,2009 Suzuki Alto VXR,4," Sep 04, 2023","
Best car in Low budget. It gives around 11 to 12 km/l fuel avg with ac in city if maintained. Power of The 1000cc engine is EXCELLENT. Road grip & stability and Built quality is much better than new alto. Sporty design unlike the new alto which has taillights in bumper. Comfortable car for city drives , easy to maneuver in heavy traffics.
",4,4,4,5,4
20,2020 Suzuki Wagon R Hybrid FX,4," Aug 26, 2023","
Black color Suzuki stingray wagon R only 20-35cars in Pakistan It is semi hybrid It's interor is great Fuel economy is 28.79  37.99kmplSometimes it reaches 40 kmplVery great it is hatchback and control is good it has 360° cameras ,P sensors and dashcam and many more features i don't have much to say but it is excellent........................
",5,5,5,4,5
21,2022 Suzuki Wagon R VXL,4," Aug 24, 2023","
I bought wagon r vxl 2022 model zero meter from showroom that time price was reasonable, car interior is good seating is comfortable,A/C cooling is perfect,inside space is too much,  car is giving me 12Km/L in city,some times wobbling when speed goes more than 100km/hr at motorway. 
",4,5,4,5,4
22,2023 Suzuki Swift GLX CVT,4," Aug 15, 2023","
More options and features than a City or Yaris at this price bracket!No body roll!No extra spaces like yaris!Its interior is much wider than yaris and city.The seats are welcoming excellent package at this price as compared to local and japanese manufactured available options!
",5,4,4,5,5
23,2022 Suzuki Wagon R AGS,4," Aug 14, 2023","
fuel economy is good.Ac performance is good.In a city you can easily drive.As compare to manual car is better.in the first gear its getting pick slowly but 4 and 5 gear its driving very smooth.company should be install second air bag, ABS brake, and rear auto windows.
",3,4,4,4,5
24,2021 Suzuki Cultus VXL,3," Aug 12, 2023","
Before Buying This car i thought that it will be a good experience but after buying now am saying it was worst experience bcz i would go for gli 2019 because its a way ahead of this car because its just kaaghaz its nothing its just a car so its my advise to all pls dont buy this car if u have budget of 4million so u should definitely opt for gli or vitz there much better than this and its avg is also not too much good 15-16 in city and 18-19 on long on 105km/h speed
",3,2,3,4,4
25,2004 Suzuki Baleno JXR,5," Aug 12, 2023","
Baleno JXR Turbo very Excellent Car Totally Everything is goodTrouble Free CarVery very nice CarVery Excellent Fuel Milage CarVery Excellent Sounds SystemVery Excellent Havy Suspension SystemEverything Is Ok. ****************************************************************************************""""""
",5,5,5,5,5
26,2022 Suzuki Cultus VXR,3," Aug 12, 2023","
The fuel economy is good car is specious but the build quality is too bad performance is good using almost 8 months the price is slighty good as compare to other cars as it is good for a small family and can be done A to B type of work especially the parts are not too expensive as it is suzuki car so dealerships are everywhere 
",4,3,4,4,4
27,2023 Suzuki Swift GLX CVT,5," Aug 11, 2023","
i have bought this car on 9th August 2023 and i am very satisfied with this masterpiece rather than honda city,toyota yaris,alsvin and others.i strongly recommend this car you must buy because best comfort,best performance,good fuel avarage,best style and design,value of money, good resale and in last this car is for all generations.
",5,5,5,5,5
28,1996 Suzuki Margalla GL,3," Aug 05, 2023","
I was buying my first car in Nov 2022 with a budget of 5lacs. I was looking for sedan because I needed good trunk space. Suzuki Margalla is an excellent car. Only issue I have faced so far is low mileage. 1996 GL gives me 8km/ltr in city without AC which is extremely costly especially at current fuel price (Rs. 273/ltr)
",4,4,2,3,4
29,2023 Suzuki Swift GL CVT,3," Jul 24, 2023","
The car has a similar drive like a CivicHandling is goodsteering is sharpbut build quality is very poor and materials used are very cheap which makes it unsafeBoot space is adequateChill Acparts are reasonable ,mostly over all car is good but has safety issues due to poor build quality 
",4,3,4,5,2
30,2022 Suzuki Wagon R AGS,3," Jul 22, 2023","
Well according to features this car is way too much oldAtleast its media screen is bigger than cultus and alto which comes by defaultRide is smooth and relaxed Miss tilt steering wheel there is a space for lever but there is no lever.Ags transmission is way more futuristic though it comes with brake hold assist.No need to drive ags transmission using tap method it shifts the gear automatically.The only thing I enjoy is its driving pleasure and ags transmission.
",3,4,4,5,3
31,2008 Suzuki Cultus VXRi,4," Jul 21, 2023","
Asslam alikum everyone, I own 2008 cultus VXR , iam driving it for 6 months it is best car for family, it is better then mehran ???? bcz of brakes . Cultus give me 9-10 in city and 17-17.5 on highway which is good. We bought it for 750k rs 6 months ago , for more go through my channel SHAH'S LIFE 2.0 and also subscribe plz
",5,4,5,5,5
32,2021 Suzuki Alto VXL AGS,3," Jul 16, 2023","
Car is very practical. It should be second car of every house. Very good for 2 passengers. Good for office commute. Gives avergae of around 20 without ac in city and with ac around 18.Bad things include engine noise, jerky gear shifts, and some build quality issues.Overall great if mostly two passengers will travel in it.
",3,2,5,3,4
33,2000 Suzuki Baleno GTi 1.6,4," Jul 10, 2023","
Aoa mery pas baleno almost 10 years sy h 1.6 wala variant ajj tk kabe kahe b rasty me nahe ruki ac performance bhoot ache h bcz recently meny service krwai h after 5 years fuel average in city 11/12 dete h on highway 16 17 dy rahe h according to my experience it is a great machine 180 k meter mar chuka on motorway zara b lag ni keya es ny best economy car for family 
",3,3,5,5,5
34,2021 Suzuki Bolan VX Euro II,1," Jul 06, 2023","
decorations ziada hoti h ride achi nhi long pr bht buri gari h resale value achi h ab eski price bht ziada h 20lac etny price ma every van ek acha option ha power steering h ride quality h road grip b h ac acha kam krta h option achy h ...............................
",1,1,3,1,3
35,2012 Suzuki Mehran VX (CNG),3," Jun 21, 2023","
Mehran (The Boss) is good car if this is the first one you are going to buy. I bought this car in August of 2018 and still owns this 2012 model car. Fuel efficiency is good but not too.., I would say I get between 13 to 15. It's comfort level is 0, even if a small bump you will feel it. But, in term of resale and Parts availability it's a super car. Although, I am satisfied with the car!
",3,3,4,3,3
36,2021 Suzuki Alto VXL AGS,4," Jun 13, 2023","
exterior is fine not too good.surpirisingly spacious and average quality it can be used in your daily routine .fuel average is perfect if youre buying lower mileage car and yiu can take care of it then it wont bother you plus dont compare it with other saloon models compare it with respect to models , maintenance cost and fuel average of other 660cc cars. 
",3,4,5,5,3
37,2023 Suzuki Cultus,3," Jun 10, 2023","
........................................................................................good style comfortable my dream car but price is not right.,.........................................,.....................................................................................
",4,4,4,4,1
38,2023 Suzuki Swift,4," May 28, 2023","

Exterior: Looking and feel is good. in my opinion Swift's body design is better than in it hatchback league.Interior: I must say Interior design is very different from previous swift. the best thing in entire interior is it's speedo meter.Fuel Economy: Fuel is the best part of it. because swift is normal size in body but the engine is 1.3cc with this combination car giving around 15 to 16 Km/l and 12 to 13 Km/l in city.Ride Quality and Handling: Ride quality is good. you can say swift have soft suspension as compare new Alto and Cultus. ground clearance is good with 5 passenger. breaking is not quite impressive.Final words: This car extra expensive but it is nice car 
 

                More
                
 
                Less
                
 
",4,4,5,5,3
39,2016 Suzuki Mehran VXR Euro II,2," May 21, 2023","
Fuel Average is 13 to 15km/l.Too economical to maintain. Variety of spare parts in local market are available.Suspension and road grip of this car is too low.  Car vibrates after 70 km/h.Go for it instead of buying a imported car in 1.3 million rupees. 
",1,2,3,4,4
40,2014 Suzuki Cultus EURO II,4," May 15, 2023","
i bought 2014 model used car and it is wonderful to drive and i love the comfort. i drove earlier swift dlx and civic but in harchback it is wonderful car to drive with 1000 cc powerful engine only problem is non eps, the rest is quiteexcellent. i recommend this car to hatch back lovers. i personally wanted another cultus 2014 model. i just love it
",5,4,4,5,3
41,2022 Suzuki Wagon R AGS,2," May 12, 2023","
Waste of money. Worst car ever Odd shape, No looksNo comfort with cheap quality interior. however it can be considered spacious compared to other 1000cc cars.drive is just fine, pickup is good but upon hihj acceleration it produces alot of sound.Pathetic fuel average of around 10-11.5km/ltr maximum for a 1000cc car.I regret buying this car.
",2,2,1,4,1
42,2019 Suzuki Alto VP,3," May 09, 2023","
It is all okay from interior as well as from exterior but paint wise and  It had 660cc Japani Engine.I got two benefits after this replacement, it got double the Fuel Average than its Stock Engine and became Automatic Hatchback that is very easy to drive in rush areas. It has strong body strong body structure than new model Alto Updated.
",3,4,2,5,1
43,2021 Suzuki Wagon R AGS,2," May 07, 2023","
Exterior is just good and about features is there any features in car my ans is no. It's better to buy a Japanese car by adding some more money. My peronal experience is that when we are going to monal lahore it wasn't going up.It was slippering down 
",2,3,4,2,1
44,2017 Suzuki Mehran VXR Euro II,1," Apr 25, 2023","
owning this car is like a curse i had been driving it since 10 years and whenever i try to even think about changing this mehran all type of problems come to me..  i had been struggling to change it from 5 year's.....if you ask a honest opinion from me I'll just tell you that you should never buy it...go for other options available in the market....
",1,1,3,2,1
45,2006 Suzuki Alto GII,4," Apr 16, 2023","
Exterior little bit compromiseBut interior is spacious with all luxurious features like sedaan fuel economy wise i gave 5 stars above bcz on this price you cannot achieve fuel average like this car.I personally using this car its comfortable to drive with automatic transmission low maintenance costs 
",4,5,5,5,5
46,2023 Suzuki Swift GLX CVT,5," Apr 13, 2023","
it gives fuel economy 17 to 19 in city and on long with ac it gives 21 to 25 on the soeed 120. and with the speed of 95 to 100 it gives 22 to 25. this car have excellent road grip with the soft suspension, very comfortable seats, loaded with all the features such as cruise control and traction control. drive of the suzuki swift is out of this world. while the looks and the interior of the car is state of the art.  
",5,5,5,5,5
47,2020 Suzuki Alto VXL AGS,4," Apr 06, 2023","
Exterior is pretty decent, not too good, not too bad either.Interior is good, with a touch screen.2 airbags, retractable mirrors, ABS brakes, AC is also great for a small car.Excellent fuel average. Giving me around 19 to 20 in city and almost same on long.Drive on long is pretty noisy but smooth after tires have been changed.For current price it is very expensive.Overall a great family car of you are looking economy.
",3,3,5,5,4
48,2022 Suzuki Wagon R VXL,3," Apr 06, 2023","
its very better than Alto i love this  car      long drive like a 1300cc car.very comfortable my suggestion is don't  waste money for 1300cc car. just buy wagonr vxl and stay blessed                                                                                                                         .                                                                                                                                                                      .
",3,3,3,2,4
49,2022 Suzuki Swift GLX CVT,2," Apr 05, 2023","

Look wise Suzuki Swift is a good car. It looks good only when it is in other hands. Reality comes after you buy. I bought Suzuki Swift for & I received it on 6th Jan. Since day 1 its AC was not working. I submitted the complaint to dealership and Suzuki Customer Service Center. Dealership called the vehicle for inspection and upon inspection they told me that its AC condenser is damaged. I asked them to cover this in warranty as at that time vehicle was brand new and used for few hundreds KMs only. Initially Pak Suzuki Denied for Warranty Claim but later Dealership told me that  Pak Suzuki has approved request to cover damages for broken part under warranty and they will provide me Replacement part once available. But later on 31st March Dealership called me and told me that I will not get replacement part as Pak Suzuki has again denied the request for Warranty Claim. Better not to buy any car from Suzuki Swift. Suzuki is a group of thugs and fraudsters. 
 

                More
                
 
                Less
                
 
",3,3,2,3,1
50,2022 Suzuki Alto VXL AGS,2," Apr 01, 2023","

Assalam o Alaikum i had feature this car by myself. so the fuel avrage highly impressed me. but it has many negative features and in the car. however it has the all practical options which comes in luxury car like toyota yaris like retractable mirrior,power mirrors & windows airbags etc . but when you highref the car a bit it's started to vibrate without any reason. the buid quality is extremely bad sometimes. I saw alot of accident in which, this car frame has fully broken. when you drive this car ???? there is a noice comes out from it's engine ""baaaaaaaaa"" so it's seems like the engine in blast in a minute. so if you guys are looking for a daily revin car so i suggest you to purchase suzuki wagon rather then par chasing suzuki alto. wagon is 1000cc & its not have a negative review as alto.so  wagor is much better than Alto. and it's value to money as well.
 

                More
                
 
                Less
                
 
",5,1,5,1,1
51,2022 Suzuki Alto VXL AGS,2," Apr 01, 2023","
Exterior is fine. Although I am strongly disagree with this vehicle. I feature this car by myself, it's underpowered. however it started vibrating on high speed 120. soundproofing is extremely bad whenever you highref the car there is sound i hear baaaaaa baaaa which is not good. so in my opinion it's not value to money. i sugget you guys to purchase wagonr in the budget of 2.9 millon rather then par chasing shapar
",1,2,5,1,1
52,2023 Suzuki Alto VXR AGS,4," Mar 04, 2023","
I like the overall look of the exterior but it would've been much if they would have given a rear spoiler and wiper. I have only kept the car for 1 week and the fuel tank cap has started getting jammed. The interior is okay but the  manual window's lever is of really cheap quality as only with little force , the whole door panel started shaking and looks like as if the whole thing is about to break apart. Instead of all that, I pretty much like the car..
",4,5,5,5,3
53,2022 Suzuki Alto VXL AGS,4," Mar 02, 2023","
bht smooth drive hai.. fuel average bhe kafe ache in city 18 to 22  or long per 19 to 23 aproxx.. khain per bhe long per underpower feel nhe hoti.. jhan kch chezain ache hain wha per bht se chezain buri bhe hain tyers ki quality bht he cheep hai. ally rims company ko danain chaie alto vxl mai kam az kam. back seats ki quality bhe ache bhe hai. or bhe bht kch hai. exterior ki quality bhe bht cheep hai. like Teen Daba.
",5,5,5,4,5
54,2005 Suzuki Liana RXi,1," Feb 27, 2023","
Fuel Economy: As per given fuel average on highway it is not possible for 1.6 Liana to give millage of 18KM/PL. I have Suzuki Liana 1.3 and I tried my level best to get millage of 15km/PL but it could not run over 14 KM/PL . How can 1.6 L engine  run 18KM/PL.
",1,1,3,2,1
55,2022 Suzuki Swift GLX CVT,4," Feb 27, 2023","
It's good car but not make valve of money. One major blunder there is no any protection sheet under the engine. Cats and rates can easily go there and easily damage the wires and pipes there. I'm facing this issue and it's totally blunder by Suzuki. No any sheet is available in the open market to cover the engine. 
",5,4,4,5,3
56,2022 Suzuki Cultus VXR,3," Feb 20, 2023","
Fuel average is awesom in city and on long, comfortable, good style but the poor built quality. You guys should see other options in this price range. Safety first and we should always buy car with at least air bags. Suzuki's every model is built with poor parts and worst quality of work like paint, seats and door panels.
",4,4,4,4,3
57,2023 Suzuki Swift GL Manual,4," Feb 10, 2023","
Excellent Fuel average, drove 200 km with light foot, it gave me average of 24. I think this is best car based on features, shape and comfort. Highly recommended to buy.The only drawback is the boot space beacuse of hatchback, other than that its perfect family car.
",5,4,5,4,4
58,2011 Suzuki Mehran VXR,4," Jan 29, 2023","
i own white mehran 2011fuel economy city 10to11in long 17to18comfortable in city 5 adults can sit in long 4 adults can sit only its value for money peoples don like mehran looks but i love it its a cute little best for beginners i installed hondas ac in it the ac  is ???? too much cold
",5,3,5,4,5
59,2006 Suzuki Cultus VXR,4," Jan 29, 2023","
fuel economy is awesome in city its 9to10in long i never test but i think its 14to15 looks are nice my cultus is modified and converted to euro 11 its not underpower???? value for money its comfortable i own mehran and civic also its better than mehran 
",5,5,4,5,5
60,2022 Suzuki Alto VXR,3," Jan 25, 2023","
Its an amazing purchase as it would be  daily driven car,fuel economy and comfort is amazing spacious car,I recommend to buy this car if you want to have economical and  comfortable ride,I recommend it to my uncle now he is loving the purchase. Something which lack in this car is its road grip as its a mini hatchback so it lost road grip when exceeds limit of 110,As a reviewer we should also focus on setbacks but its setbacks are vanished out when we see its advantages.I Give 8 out of 10 for comfort and fuel economy 
",1,3,5,5,5
61,2022 Suzuki Wagon R,3," Jan 18, 2023","
exterior is boxy & interior is good looking ....wagon r has made as pakistani marketbut i think need to launch latest version in Pakistan overall it is a good car for Pakistani roadsbecause ground clearance is very good wagon r is a hatch back car but looking good
",3,3,3,4,4
62,2018 Suzuki Cultus VXR,4," Jan 12, 2023","
Exterior is goodInterior is all plastic, look wise ok and practicalEngine is excellent so is the performanceAc is 7/10Gear position and driving position is very comfortableFuel average in city  with ac in summer is around 15-16 and on long route is 17 @120kmphrOverall it is a good buy but parts are expensive 
",5,3,5,5,3
63,2019 Suzuki Alto VXR,5," Dec 21, 2022","
Very Comfortable  And Reliable Car Comfort isAslo Very Good Fuel Economy is verybest MY Alto Gives 26 km In On Liter ANDALSO VALUE OF MONEYInterior Is very Atractive And Gives Good Look but paing Quality of Suzuki Is Littile Bit Poor Compare With japnese Alto
",5,5,5,5,5
64,2022 Suzuki Alto VX,5," Dec 20, 2022","

Exterior: (Best at the price bracket)indicator at back side is not at good positionInterior: Best in the price bracket.Fuel Economy: Absolutely amazing, around 24 on high way with 80km/hr speedHandling: Handling is not good enogh so don't try to speed over 80.Overall it is a good car for economic purpose. Fuel effecient car I ever seen before and its comfort is same as the Vagon R. I recomend if you have low budget and looking fuel economic car so this is the best choice.I installed AC after market and it cost around 50000 for me. So I prefer VX instead of VXR(I save RS:225000).High speed braking is not good(So I recomend to avoid speed over 80km/hr)
 

                More
                
 
                Less
                
 
",5,5,5,5,5
65,2022 Suzuki Swift GLX CVT,5," Dec 09, 2022","
Exterior is hand turner, car has perfect and modern shape though parts are very expensive. interior is excellent too , it could have been better if they add multi-tone color and replace silver with white. Seats are very comfortable welcoming. AC and heater performance is excellemt and doesnt have any effect on car performance.Car is light but still road grip is firm.
",5,5,5,5,5
66,2022 Suzuki Swift GLX CVT,5," Dec 06, 2022","
Excellent car, tough it is light but road grip is good. shocks could have been better. fuel average is good.  let see how it performs in long run.Interior looks good but door mirrors are very thin. tyres has loud road noise. Paint quality is poor. 
",5,5,5,5,5
67,2022 Suzuki Alto VX,3," Nov 28, 2022","
Alto is a cheap and reliable little car. Low maintenance and cheap to run. No creature comforts but what you get is an excellent little machine. Buying a more luxurious car would mean better build and ride quality, however, you compromise on breakdowns and unreliability.
",4,4,4,3,4
68,2021 Suzuki Alto VXR,3," Nov 28, 2022","
It is all okay from interior as well as from exterior but paint wise Suzuki are so bad because of low quality paint job like very thin paint job done on it and fuel is good as now a days car with a good fuel average which alto gives. ???????? Material wise is just a plastic piece 
",3,3,4,4,4
69,2022 Suzuki Swift GLX CVT,5," Nov 28, 2022","
Exterior is stylish, i have yaris 1.5 ativX and i bought swift glx as well for my family. believe me swift has another level of driving comfort though suspensions are bit hard but the habndling in hilly areas is exeptional. interior is good too and  i think only swift in below 50lac category car now a days giving that much features. pick is excellent, inside cabin noise is much better than toyota and honda. 
",5,5,5,5,5
70,2022 Suzuki Alto VXL AGS,2," Nov 16, 2022","

Have Suzuki Alto since 2021. Used it for every purpose, for long routes and city. Car is good in Fuel Economy, whereas the issues with Built Quality are more, ride Quality is Inferior compared to other cars. Handling is OK, while leg space is also good. But Overall some basic features like Adjustable Steering and Rear Headrest could be given, which I really feel missing in my Car. The car's AGS gearbox is a bit Jerky which could be made better. After 50k, the Lack and Shifts are delayed very much.  Overall I've kept it for better fuel efficiency and maneuverability. Its not recommended to take this car on long routes, as car although is reliable but is way too Underpowered for highway Travelling. 
 

                More
                
 
                Less
                
 
",1,1,5,1,2
71,2021 Suzuki Alto VXR,3," Nov 12, 2022","
i bought This Car a Weak ago this car drive is excellent and fuel average is 20-23 kilometers per liter, better performance but engine sound is nit satisfactory, bcz car k andhar ajeeb engine ka sound aa rha hai .sound system achhi quality hai and and Vxr varrient me bux power window ko miss krta hu 
",3,3,5,4,4
72,2022 Suzuki Cultus VXL,2," Nov 07, 2022","

Cultus is a good car but expensive. i have both cultus and alto in some matter both are superior accordin to their category.Alto get lod on engine when full wit passenger with A/c but cultus feel very minor.alto fuel average in longe i once get 28 km/L brillant average on 70km/h  use of break is a little bit and not Accelerated very fast and driver no passenger.cultus have 17.5 km on long so much low then alto agregate on long with alto i got 21.5 with a/c full with passenger. perhaps cultus is new i have only driven 4000k/m yet perhaps increase after 1st servicealto confort level is superior then cultus i am not tired when drive alto Both have equal best quality a/c
 

                More
                
 
                Less
                
 
",3,2,3,4,2
73,2022 Suzuki Cultus VXL,3," Nov 07, 2022","
cultus is a good car but,its price is so much higher. i have before alto vxl and know cultus vxl2022.DIFFERENCE is huge alto get lod when is full with passenger with A/c cultus is not its breaks is much good then cultus fuel average V/s alto is superior then cultus i got 28 km/l once when i drive this car from vehari to multan with very slow mode without A/c on 70km/h not use many breakes.Its comfort is much better then cultus A/c is equal to alto best a/c 
",3,2,3,4,3
74,2022 Suzuki Swift GL Manual,5," Oct 31, 2022","
This 2022 swift gl manual  is 100 times better than yaris in drive and looks , very responsive car with very beautiful looks . I still hv yaris and nw i planning to sell it bcoz after this new generation swift I'm not liking & driving my yaris anymore , I'm very much satisfied with new swift ????????????????????
",5,5,5,5,5
75,2017 Suzuki Wagon R VXL,3," Oct 30, 2022","
this car is good for in city car or for drivers and suspension of car is not very good ..fuel consumption is 16km\ liter and  that is perfect thing it doesn't even have security festures like no airbags no Abs no adas kind features even tyres are so small .. its not really value to money like 10 to 12 lacs is ok but 28 lacs is too much for this type of car
",3,2,4,3,3
